company_id,company_name,affiliation_id,active
DCSYNPCOM001300,Devdatta Skin And Hair Clinic,,Y
DCSYNPCOM000485,Devi Ratna Multispeciality Hospital,,Y
DCSYNPCOM001280,Dheeran Skin And Hair Transplant Clinic,,Y
DCSYNPCOM001541,Dhwanil Dental Clinic,,Y
DCSYNPCOM000811,Diabetes And Wellness Clinic,,Y
DCSYNPCOM001376,DIVI Speciality Clinics,,Y
DCSYNPCOM001945,Divine Care Multispeciality Clinic,,Y
DCSYNPCOM000942,Divine Heart Clinic,,Y
DCSYNPCOM001822,Diya Speciality Clinic,,Y
DCSYNPCOM000466,Doctor's Clinic,,Y
DCSYNPCOM000565,Doctors Clinic,,Y
DCSYNPCOM001363,Docube Healthcare - Smile And Aesthetic Dental Cli,,Y
DCSYNPCOM001105,Dr AJ Kanwar Skin Clinic,,Y
DCSYNPCOM001030,Dr Alva's Skin and Hair Clinic,,Y
DCSYNPCOM000441,Dr Amitava Chakravorty's Clinic,,Y
DCSYNPCOM001219,Dr Anurag Skin and Laser Clinic,,Y
DCSYNPCOM000793,Dr Danej Heart Clinic & DermaSure Skin Aesthetics,,Y
DCSYNPCOM000665,Dr Ingle Speciality Clinic,,Y
DCSYNPCOM001951,Dr Jolly's Skin Nurture Clinic,,Y
DCSYNPCOM001102,Dr Jyoti Gupta Dermatology Clinic,,Y
DCSYNPCOM001173,Dr Kuldeep Singh Skin Clinic & American Hair Trans,,Y
DCSYNPCOM000721,Dr L H Hiranandani Hospital,,Y
DCSYNPCOM000813,Dr Lal's Heart Center,,Y
DCSYNPCOM000489,Dr Midha's National Clinic,,Y
DCSYNPCOM001134,Dr Rangoli's Skin Hair and Laser Clinic,,Y
DCSYNPCOM001700,Dr Rashmi's Dental Clinic,,Y
DCSYNPCOM001026,"Dr Ritika Shanmugam Skin, Hair and Aesthetics Clin",,Y
DCSYNPCOM000852,Dr Rudradev Pandey's Clinic,,Y
DCSYNPCOM001688,Dr Sailee's Dental Clinic,,Y
DCSYNPCOM001670,Dr Sanjana Multispecialty Laser Dental Clinic,,Y
DCSYNPCOM000535,Dr Sanjeev's Pain Clinic,,Y
DCSYNPCOM001079,Dr Shaurya's Skin Clinic,,Y
DCSYNPCOM000686,Dr Shishir Gupte Clinic,,Y
DCSYNPCOM001971,Dr Skinn Clinic,,Y
DCSYNPCOM000993,Dr Sukrutha's Skin and Hair Clinic,,Y
DCSYNPCOM001954,Dr Tannu's Komal Skin Clinic,,Y
DCSYNPCOM001438,Dr Teeth Dental Care Center,,Y
DCSYNPCOM000505,Dr V R Tindwani Clinic,,Y
DCSYNPCOM000615,Dr V Rama Narasimham Clinic,,Y
DCSYNPCOM000274,Dr Zainab's Divine Skin Clinic,,Y
DCSYNPCOM001692,Dr. (Capt) Prince Herbert Dental Centers,,Y
DCSYNPCOM000679,Dr. (Mrs) Nita Joshi Clinic,,Y
DCSYNPCOM000634,Dr. A. Mohamed Sadhakathulla Clinic,,Y
DCSYNPCOM001521,Dr. Abhinav Misuriya has completed Master of Denta,,Y
DCSYNPCOM000405,Dr. Agarwal Eye Hospital,,Y
DCSYNPCOM001187,Dr. Aklish Jain Outbloom Clinics,,Y
DCSYNPCOM000291,Dr. Akshat Verma's Skin Hair & Laser Clinic,,Y
DCSYNPCOM001044,Dr. Akshaya Skin And Aesthetic Clinic,,Y
DCSYNPCOM000975,Dr. Ambrish S. Patel's Clinic,,Y
DCSYNPCOM001193,Dr. Archana's Skin & Cosmetic Clinic,,Y
DCSYNPCOM000669,Dr. Arvind Kinage Clinic,,Y
DCSYNPCOM000275,"dr. atika aesthetics skin, hair and laser clinic -",,Y
DCSYNPCOM000664,Dr. Bagadia’s Hair Clinic And Transplant Center,,Y
DCSYNPCOM001527,Dr. Bhangale's Dental Clinic,,Y
DCSYNPCOM001525,Dr. Bharat Oswal's Multispeciality Dental Clinic,,Y
DCSYNPCOM001245,Dr. Bhargavi's Skin Clinic,,Y
DCSYNPCOM001565,Dr. Bhasme Diabetes Thyroid Skin Hair Laser Clinic,,Y
DCSYNPCOM001513,Dr. Bhirud's Sweet Smile Dental Clinic,,Y
DCSYNPCOM001247,Dr. Bujji Babu Skin& V.D.Clinic,,Y
DCSYNPCOM001230,Dr. Chalasani Praveena's Skin And Laser Clinic REW,,Y
DCSYNPCOM001103,Dr. Chanana's Skintales Clinic,,Y
DCSYNPCOM000469,"Dr. Desai Dermacare- Skin, Hair & Laser Clinic",,Y
DCSYNPCOM001015,Dr. Desai Skin and Hair Clinic,,Y
DCSYNPCOM001216,Dr. Dev's Skin & V.D Clinic,,Y
DCSYNPCOM001313,Dr. Devendra Jilhare is a Dermatologist in Azamsha,,Y
DCSYNPCOM001324,Dr. G Chandra Sekhar's Dental Hospital,,Y
DCSYNPCOM000868,Dr. Gautam Swaroop Clinic,,Y
DCSYNPCOM001073,Dr. Gayatri's Skin Clinic,,Y
DCSYNPCOM000667,Dr. Girdhar Heda's Clinic,,Y
DCSYNPCOM000451,Dr. Gita Das Banik Clinic,,Y
DCSYNPCOM001712,Dr. Gopal Tawani practices at Dr. Tawani's Smile A,,Y
DCSYNPCOM001212,Dr. Gupta's Skin and Hair Hospital,,Y
DCSYNPCOM001296,Dr. Gurman Singh Bhasin is a board-certified MD De,,Y
DCSYNPCOM000979,Dr. Hansmukh Gandhi's Clinic,,Y
DCSYNPCOM000281,Dr. Harshita Kothari Skinpuritys Clinic,,Y
DCSYNPCOM001564,Dr. Hemang Zala Multi Speciality & Cosmetic Dental,,Y
DCSYNPCOM001018,"Dr. Juvita's Aesthetics Skin, Hair and Cosmetology",,Y
DCSYNPCOM000978,Dr. K. G. Gupta's Clinic,,Y
DCSYNPCOM000633,DR. K. Thirunavukkarasu Clinic,,Y
DCSYNPCOM001171,"Dr. Kaksha B Shah - Skin, Hair & Cosmetology Clini",,Y
DCSYNPCOM001244,"Dr. Kantamuneni Ushma is a Dermatologist,Aesthetic",,Y
DCSYNPCOM000905,Dr. Karthik Tummala is a Interventional Cardiologi,,Y
DCSYNPCOM000805,Dr. Kartik Bhosale's Cardiology Clinic,,Y
DCSYNPCOM001519,Dr. Ketkar Dental Clinic,,Y
DCSYNPCOM001064,Dr. Kiran Katkar's Dermis Skin Wellness Clinic Las,,Y
DCSYNPCOM001681,"Dr. Konagala Ravi Kumar is a Endodontist,Conservat",,Y
DCSYNPCOM001556,Dr. Konain Dental and Aesthetic Clinic,,Y
DCSYNPCOM001098,Dr. Lipy Gupta Clinic,,Y
DCSYNPCOM000670,Dr. M Shams Khan Clinic,,Y
DCSYNPCOM001006,Dr. Madhavis Advanced Skin Hair and Laser Clinic,,Y
DCSYNPCOM000877,Dr. Madhukar Kapoor Clinic,,Y
DCSYNPCOM001308,Dr. Milind Borkar's Skin Clinic,,Y
DCSYNPCOM001979,Dr. Mithran's Dental Clinic,,Y
DCSYNPCOM000282,Dr. Monika's Skin Clinic,,Y
DCSYNPCOM000938,Dr. Muthus Hospital,,Y
DCSYNPCOM001311,Dr. Neha Rajesh Rathi is a consultant dermatologis,,Y
DCSYNPCOM000932,Dr. Omnath's Clinic,,Y
DCSYNPCOM001283,Dr. P K Koshy Clinic,,Y
DCSYNPCOM000053,Dr. Partha Sarathi's Asian Hair And Skin Hospitals,,Y
DCSYNPCOM001526,Dr. Phadke's Dental Clinic & Implant Centre,,Y
DCSYNPCOM000562,Dr. Pooja Dhaon Clinic,,Y
DCSYNPCOM001199,Dr. Priyanka's Skin Clinic,,Y
DCSYNPCOM001070,Dr. Purvi Shah's Clinic,,Y
DCSYNPCOM001511,Dr. Ratnika's - Smile Up Dental Clinic & Implant C,,Y
DCSYNPCOM000226,Dr. Rela Institute & Medical Centre,,Y
DCSYNPCOM001948,Dr. Saguna's Premier Dermatology Clinic,,Y
DCSYNPCOM001466,Dr. Sahni's Dental Clinic,,Y
DCSYNPCOM001034,Dr. Sai Preethi's Skin and Aesthetic Clinic,,Y
DCSYNPCOM000290,Dr. Sanjay Khare's Clinic,,Y
DCSYNPCOM001228,Dr. Sanjeev Saxena Skin Clinic,,Y
DCSYNPCOM001910,Dr. Sarang Gotecha Clinic,,Y
DCSYNPCOM000479,Dr. Sawant's Clinic - Mother & Child Care,,Y
DCSYNPCOM001028,Dr. Sculpt Aesthetic Clinic,,Y
DCSYNPCOM000397,Dr. Seema S. Masrani's Clinic,,Y
DCSYNPCOM001227,Dr. Shatrughan Sahay Clinic,,Y
DCSYNPCOM001086,Dr. Siddiqui's Skin Clinic,,Y
DCSYNPCOM001035,Dr. Sindhu's Skin Clinic,,Y
DCSYNPCOM001803,Dr. Smiles Dental Hospitals,,Y
DCSYNPCOM001003,Dr. Soumya's Aria Skin & Hair Clinic,,Y
DCSYNPCOM000211,Dr. Srikanth K V MD DM Clinic,,Y
DCSYNPCOM000555,Dr. Subodh's Dental Clinic,,Y
DCSYNPCOM001943,Dr. Sudhansu's Heart Clinic,,Y
DCSYNPCOM001167,Dr. Sujata Mehta Ambalal's Skin and Hair Clinic,,Y
